participant	af1:1	af1:2	af1:3	af1:4	af1:5	af1:6	af1:7	af1:8	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	att0:1	att0:2	att0:3	att0:4	att1:1	att1:2	att1:3	att1:4	testexperiment:1	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.96632993-782a-40c1-b7ab-993b1fae49f4.txt	2	2	4	4	3	1	2	2	1	1	1	2	2	4	3	4	3	3	3	3	2	iat.2022-06-25-1123.data.96632993-782a-40c1-b7ab-993b1fae49f4.txt	5b6dada03ce3ab0001fd077c	628b85eadfa9f719427604ce	62b6d1bc914f2d27012cdbb3	2022-06-25-11-13	2022-06-25-11-23	10
s.7f2812ed-6547-4ef3-bd90-4594fb8447af.txt	1	1	4	4	2	1	2	2	1	1	2	2	2	5	4	1	1	3	3	3	1	iat.2022-06-25-1518.data.7f2812ed-6547-4ef3-bd90-4594fb8447af.txt	5df76aff2d2185502504d15c	628b85eadfa9f719427604ce	62b708e70f41a0636d516ad8	2022-06-25-15-09	2022-06-25-15-18	9
s.48a9149f-d18f-42c6-8a59-c94fb8b694ad.txt	2	3	5	5	3	1	1	1	1	1	1	1	2	5	5	2	2	3	3	3	3	iat.2022-06-25-1223.data.48a9149f-d18f-42c6-8a59-c94fb8b694ad.txt	608539cd54e4230bbaaf4959	628b85eadfa9f719427604ce	62b6e05b4322ef992b784cf2	2022-06-25-12-16	2022-06-25-12-23	7
s.c5fc4742-0a2b-4611-aa43-bfac4602c088.txt	1	2	4	3	2	1	1	1	2	2	2	2	2	4	4	1	1	3	3	3	3	iat.2022-06-26-1219.data.c5fc4742-0a2b-4611-aa43-bfac4602c088.txt	60ecadbc339c0f0e49a9c370	628b85eadfa9f719427604ce	62b82f1064ad95321958ca56	2022-06-26-12-04	2022-06-26-12-19	15
s.27585af0-4f38-4388-bc68-a19887f76fd9.txt	1	2	4	4	4	2	2	2	1	1	2	2	2	4	3	3	3	3	2	2	2	iat.2022-06-25-1555.data.27585af0-4f38-4388-bc68-a19887f76fd9.txt	6107f8e71da90474ed188cb3	628b85eadfa9f719427604ce	62b710b86cef78c64258ca5c	2022-06-25-15-43	2022-06-25-15-55	12
s.34ddb50a-2e38-4035-8cd6-d2082d49a29b.txt	3	3	4	4	4	1	2	2	1	1	1	1	1	4	4	3	2	4	3	4	2	iat.2022-06-25-1525.data.34ddb50a-2e38-4035-8cd6-d2082d49a29b.txt	60c939c438c389b49847c08b	628b85eadfa9f719427604ce	62b70af2b08e5b233af6cc6c	2022-06-25-15-17	2022-06-25-15-25	8
s.4350d38d-79e1-436a-b126-936a39b0aede.txt	1	2	4	1	1	1	1	1	1	1	2	2	2	4	4	2	3	4	2	5	3	iat.2022-06-27-1813.data.4350d38d-79e1-436a-b126-936a39b0aede.txt	5f27df9a9858eb0008fd7aa3	628b85eadfa9f719427604ce	62b9d4d5080ac99992509ff1	2022-06-27-18-03	2022-06-27-18-13	10
s.d0315161-46c0-43c0-ae27-bf82c571298c.txt	1	4	5	5	5	1	2	3	1	1	1	1	1	5	4	3	3	3	3	4	3	iat.2022-06-25-1340.data.d0315161-46c0-43c0-ae27-bf82c571298c.txt	61720e04849f1568c2f3e999	628b85eadfa9f719427604ce	62b6f21c8b1ec4b7fec09283	2022-06-25-13-32	2022-06-25-13-40	8
s.3b0dd8b7-fc49-4fc1-8d1e-c6297b9217d3.txt	1	4	5	4	4	1	1	2	1	1	1	1	2	5	2	1	1	3	2	4	2	iat.2022-06-25-1208.data.3b0dd8b7-fc49-4fc1-8d1e-c6297b9217d3.txt	612ccc537fd00ae8b3e8b95f	628b85eadfa9f719427604ce	62b6dcc35c10fbaee3f5c59f	2022-06-25-12-00	2022-06-25-12-08	8
s.fae4d937-316e-4bb3-ac3b-273f17984c02.txt	4	3	5	4	3	2	4	4	1	1	1	1	1	3	4	3	3	3	3	3	2	iat.2022-06-25-1414.data.fae4d937-316e-4bb3-ac3b-273f17984c02.txt	5f285902166da3151b01faf2	628b85eadfa9f719427604ce	62b6fa1c46140763d6f5c5ab	2022-06-25-14-05	2022-06-25-14-14	9
s.74d23095-4fca-4f15-8e9e-2b5e7de62456.txt	1	2	2	2	2	1	1	1	1	2	2	2	2	4	4	2	2	4	2	4	2	iat.2022-06-25-2010.data.74d23095-4fca-4f15-8e9e-2b5e7de62456.txt	60f5a332d13bb868d7724c52	628b85eadfa9f719427604ce	62b74d7e0053247335a89e06	2022-06-25-20-01	2022-06-25-20-10	9
s.7480a1c3-0023-441c-b2ba-63ac204e4ab5.txt	2	2	4	4	3	1	1	4	1	1	1	1	1	4	2	4	2	5	3	2	2	iat.2022-06-25-1405.data.7480a1c3-0023-441c-b2ba-63ac204e4ab5.txt	6024c1edf9b0e11f13c59cbd	628b85eadfa9f719427604ce	62b6f7f92831c1ebc79e33a5	2022-06-25-13-56	2022-06-25-14-05	9
s.615e6d67-714b-401f-9950-f0293e4affa5.txt	4	4	5	5	4	2	3	2	1	1	1	1	1	4	4	2	2	4	1	5	1	iat.2022-06-25-1118.data.615e6d67-714b-401f-9950-f0293e4affa5.txt	604a3c8ec261d2fa6ac242c3	628b85eadfa9f719427604ce	62b6d10575122265af0c5778	2022-06-25-11-10	2022-06-25-11-18	8
s.7c6f7806-2da5-43a4-b1df-1e368f5a727e.txt	1	1	5	3	3	1	1	1	1	1	1	1	2	5	5	3	3	3	3	3	3	iat.2022-06-26-0248.data.7c6f7806-2da5-43a4-b1df-1e368f5a727e.txt	609ab970bcff69957427445d	628b85eadfa9f719427604ce	62b7ab0add5226f1765def3f	2022-06-26-02-40	2022-06-26-02-48	8
s.04c8f586-2cc2-40b5-bced-d047b07ee5cb.txt	1	3	3	3	3	1	2	4	1	1	1	2	2	5	4	2	2	3	2	4	2	iat.2022-06-25-1159.data.04c8f586-2cc2-40b5-bced-d047b07ee5cb.txt	61641b8573a9dcd29ba9d87b	628b85eadfa9f719427604ce	62b6da68ac9978cdef5def40	2022-06-25-11-50	2022-06-25-11-59	9
s.55452d3a-d900-4295-9654-6b7d29977d89.txt	2	4	5	4	3	1	2	2	1	1	1	2	2	4	3	3	2	4	2	3	2	iat.2022-06-25-1233.data.55452d3a-d900-4295-9654-6b7d29977d89.txt	60f1881264ff3a7f211d186a	628b85eadfa9f719427604ce	62b6e24d16dbf17a07e691cd	2022-06-25-12-24	2022-06-25-12-33	9
s.e5d68b44-c255-4ab6-99a0-6e13a6d0b70f.txt	2	3	4	4	2	1	2	4	1	1	1	2	2	4	5	3	3	3	3	3	3	iat.2022-06-25-1608.data.e5d68b44-c255-4ab6-99a0-6e13a6d0b70f.txt	5f33ead9400eee2403448c32	628b85eadfa9f719427604ce	62b714e236b95cc243dffc7d	2022-06-25-16-00	2022-06-25-16-08	8
s.d7822fd7-e1ee-4f66-b89d-74c13b1be041.txt	1	3	5	4	4	1	1	1	1	1	1	1	2	5	2	1	1	5	2	4	2	iat.2022-06-26-1524.data.d7822fd7-e1ee-4f66-b89d-74c13b1be041.txt	609e866bea124d8bae2e1ce8	628b85eadfa9f719427604ce	62b85c1bd75310331fc33209	2022-06-26-15-16	2022-06-26-15-24	8
s.d066ccb2-89a8-432e-a70c-176a7152495e.txt	3	3	4	4	4	1	1	4	1	1	1	2	2	5	4	2	3	3	3	4	2	iat.2022-06-25-1522.data.d066ccb2-89a8-432e-a70c-176a7152495e.txt	5f444f41d9255617e1ba10ff	628b85eadfa9f719427604ce	62b70a2fd95af21884eb059e	2022-06-25-15-14	2022-06-25-15-22	8
s.76fc12de-20c4-4089-8be9-1c1e593797be.txt	2	2	2	2	1	1	2	1	1	1	1	2	2	4	4	2	2	3	3	3	2	iat.2022-06-27-1026.data.76fc12de-20c4-4089-8be9-1c1e593797be.txt	5d8346167ed176001888204d	628b85eadfa9f719427604ce	62b965463621ccb189ba271d	2022-06-27-10-07	2022-06-27-10-26	19
s.44d02a49-b798-4c0a-9852-1ee192abdaeb.txt	3	5	5	4	2	2	4	3	1	1	1	1	1	4	4	3	3	4	2	4	2	iat.2022-06-26-0041.data.44d02a49-b798-4c0a-9852-1ee192abdaeb.txt	5d39dd63c49dae00016065c7	628b85eadfa9f719427604ce	62b78d33056e9104a11c5765	2022-06-26-00-33	2022-06-26-00-41	8
s.e5a758ea-e173-4c9a-8245-a7132e9df223.txt	2	3	5	5	2	1	2	3	1	1	1	1	2	5	5	2	2	2	3	4	2	iat.2022-06-28-1134.data.e5a758ea-e173-4c9a-8245-a7132e9df223.txt	608bb6544e29801f4cac1c2d	628b85eadfa9f719427604ce	62bac93c64b9c601e1501fcc	2022-06-28-11-26	2022-06-28-11-34	8
s.15e10e10-956a-4420-8f66-01fbc33dce99.txt	1	1	3	3	1	1	1	1	1	2	2	2	2	5	3	2	2	3	2	3	2	iat.2022-06-25-1516.data.15e10e10-956a-4420-8f66-01fbc33dce99.txt	5ef698a927c8ea38d5bcc192	628b85eadfa9f719427604ce	62b70889265931231a1a987b	2022-06-25-15-07	2022-06-25-15-16	9
s.6597474b-4eb7-4d16-8072-0f52a7217baa.txt	1	1	3	1	1	1	1	1	1	1	1	1	2	2	2	1	1	5	3	3	3	iat.2022-06-26-0241.data.6597474b-4eb7-4d16-8072-0f52a7217baa.txt	60496d3990d324547105f959	628b85eadfa9f719427604ce	62b7a96e9d9944e1cc9b90ed	2022-06-26-02-33	2022-06-26-02-41	8
s.a4dc67c5-b1e1-436d-8ea5-d27979f6ba85.txt	1	4	5	5	4	1	1	1	1	1	1	1	1	4	4	4	3	4	3	3	2	iat.2022-06-25-1241.data.a4dc67c5-b1e1-436d-8ea5-d27979f6ba85.txt	5e68d8b2a042a7000d529490	628b85eadfa9f719427604ce	62b6e46311aeb77a852cdb8b	2022-06-25-12-33	2022-06-25-12-41	8
s.b2fd9404-308f-4626-ae83-046ae7067961.txt	1	4	5	4	4	1	1	2	1	1	1	2	2	4	5	2	2	4	2	4	1	iat.2022-06-27-1005.data.b2fd9404-308f-4626-ae83-046ae7067961.txt	5c4c53b95aa8dc00011b0dce	628b85eadfa9f719427604ce	62b96239a357aa808f170f27	2022-06-27-09-54	2022-06-27-10-05	11
s.eab27d9c-0aa7-4b9d-906c-b27c891d98a0.txt	3	3	5	4	3	1	1	1	1	1	1	1	2	5	4	2	3	4	3	3	2	iat.2022-06-25-1323.data.eab27d9c-0aa7-4b9d-906c-b27c891d98a0.txt	5f0471a92ec97b6d1aec7739	628b85eadfa9f719427604ce	62b6ee0915e25ce5d6f5c5c6	2022-06-25-13-14	2022-06-25-13-23	9
s.f90cd791-96e1-4698-8667-5db23b3fea9b.txt	2	1	5	4	2	1	1	1	1	1	1	1	2	4	5	1	3	4	2	4	2	iat.2022-06-25-1338.data.f90cd791-96e1-4698-8667-5db23b3fea9b.txt	615e2e6bb4b4ab6fa6f6086f	628b85eadfa9f719427604ce	62b6f157478139cdfab08dd3	2022-06-25-13-28	2022-06-25-13-38	10
s.60ef31ac-ee39-4011-80a5-a3dc5d0d19d0.txt	2	2	4	4	1	1	1	1	1	1	1	2	2	4	2	2	2	4	2	3	2	iat.2022-06-27-1008.data.60ef31ac-ee39-4011-80a5-a3dc5d0d19d0.txt	60b553fb5705a4355358afaf	628b85eadfa9f719427604ce	62b963a646e7cb61a52573fb	2022-06-27-10-00	2022-06-27-10-08	8
s.d07d39ee-c751-415f-b9c5-dbf9043c6d04.txt	1	1	3	4	1	1	1	2	1	1	2	2	2	4	2	1	1	4	2	1	1	iat.2022-06-25-1207.data.d07d39ee-c751-415f-b9c5-dbf9043c6d04.txt	60b3576258dd0303232cb158	628b85eadfa9f719427604ce	62b6dc0f700e19b7bbf14aa0	2022-06-25-11-57	2022-06-25-12-07	10
s.58136ddd-6a3f-4d5d-88ea-f33e48420c59.txt	3	3	5	4	4	2	3	3	1	1	1	1	1	4	4	3	2	3	3	3	2	iat.2022-06-27-0829.data.58136ddd-6a3f-4d5d-88ea-f33e48420c59.txt	5f8eed755fcafb0baa531301	628b85eadfa9f719427604ce	62b94c016f1440bba62cdb98	2022-06-27-08-19	2022-06-27-08-29	10
s.bd6d0555-e4ab-4e79-acf6-69478a2b025c.txt	3	2	5	4	2	1	1	2	1	1	1	2	2	5	4	4	3	1	3	2	1	iat.2022-06-25-2044.data.bd6d0555-e4ab-4e79-acf6-69478a2b025c.txt	5e85fb52694b68049c112544	628b85eadfa9f719427604ce	62b755cf8e0ccf32687d1f07	2022-06-25-20-37	2022-06-25-20-44	7
s.07a34638-3d07-445f-bcac-89c1f43b6edd.txt	1	2	4	2	1	1	3	2	2	2	1	2	2	4	3	3	2	4	2	2	2	iat.2022-06-25-1259.data.07a34638-3d07-445f-bcac-89c1f43b6edd.txt	60d9a7c0aebfc51577e97903	628b85eadfa9f719427604ce	62b6e75a32a21033d62cdbac	2022-06-25-12-45	2022-06-25-12-59	14
s.908ec736-6fbf-4b96-94c2-74d5124144dc.txt	4	4	5	5	5	2	4	4	1	1	1	1	1	4	4	5	2	5	1	5	2	iat.2022-06-26-1512.data.908ec736-6fbf-4b96-94c2-74d5124144dc.txt	615094c9a1ba0233a8c3ccc4	628b85eadfa9f719427604ce	62b859426c3f4425acb08dd9	2022-06-26-15-04	2022-06-26-15-12	8
s.d38c1cfb-31bb-4230-8d1d-57e6be52ed5b.txt	3	2	4	4	2	1	3	2	1	1	1	1	2	4	4	3	3	3	2	4	3	iat.2022-06-27-1121.data.d38c1cfb-31bb-4230-8d1d-57e6be52ed5b.txt	5ea718879d28c80bf38bcb7f	628b85eadfa9f719427604ce	62b9743681f926de4d2703bd	2022-06-27-11-11	2022-06-27-11-21	10
s.7c211193-2004-445a-b9d6-7a1ffd26a2c0.txt	2	4	5	5	2	1	1	3	1	1	1	1	2	5	4	2	3	4	1	5	2	iat.2022-06-27-2232.data.7c211193-2004-445a-b9d6-7a1ffd26a2c0.txt	6113a568434313758954bb53	628b85eadfa9f719427604ce	62ba11f032c2fa8894dcdff7	2022-06-27-22-24	2022-06-27-22-32	8
s.075fe491-37d4-42d7-8201-bab547c30da3.txt	1	1	4	4	1	1	1	1	1	1	1	2	2	4	4	2	2	2	3	5	1	iat.2022-06-25-1507.data.075fe491-37d4-42d7-8201-bab547c30da3.txt	60bd04a3749e1ca47e54d3e1	628b85eadfa9f719427604ce	62b706b2a659a4633863c059	2022-06-25-14-59	2022-06-25-15-07	8
s.fd019c0e-a2a0-4178-9ab4-1edb1e185805.txt	3	3	4	4	2	1	2	4	1	1	1	1	1	3	3	3	3	3	3	3	3	iat.2022-06-27-1143.data.fd019c0e-a2a0-4178-9ab4-1edb1e185805.txt	615da7549e575b94827b81ab	628b85eadfa9f719427604ce	62b978bbb4c0ef7844030071	2022-06-27-11-30	2022-06-27-11-43	13
s.dc612b3a-b719-4d1e-972d-f22506534b0e.txt	5	4	5	4	3	2	5	4	1	1	1	1	2	4	5	3	3	3	3	3	2	iat.2022-06-26-1741.data.dc612b3a-b719-4d1e-972d-f22506534b0e.txt	611fce73e0a46ebc8e4b90a5	628b85eadfa9f719427604ce	62b87c623f3a1ca338d922da	2022-06-26-17-33	2022-06-26-17-41	8
s.7363fcc4-b22d-4aaa-9e0b-ee8e46c8074d.txt	2	3	4	4	4	1	1	2	1	1	1	1	1	4	2	1	2	4	1	4	3	iat.2022-06-25-0030.data.7363fcc4-b22d-4aaa-9e0b-ee8e46c8074d.txt	6166e78051425fa22de68491	628b85eadfa9f719427604ce	628b85eadfa9f719427604ce	2022-06-25-00-16	2022-06-25-00-30	14
s.8ea75bbd-c9bf-4f03-b443-163bc5234e38.txt	1	4	5	4	4	2	1	4	2	1	2	2	2	4	4	2	2	3	2	4	2	iat.2022-06-25-2326.data.8ea75bbd-c9bf-4f03-b443-163bc5234e38.txt	6145dddfa6fcfd396e1f4f1a	628b85eadfa9f719427604ce	62b77b25b7c9a143da341504	2022-06-25-23-16	2022-06-25-23-26	10
s.85430af4-527a-440b-a50d-4fb8ca34cb00.txt	1	3	5	4	4	1	1	1	1	1	2	2	2	4	5	3	1	4	4	2	2	iat.2022-06-25-1143.data.85430af4-527a-440b-a50d-4fb8ca34cb00.txt	5be2965691deed00015acc2b	628b85eadfa9f719427604ce	62b6d695d0f930262f25740a	2022-06-25-11-34	2022-06-25-11-43	9
s.2f230928-f7eb-45d7-a495-4e2d0dfc8370.txt	4	3	5	3	2	1	2	2	1	1	1	1	2	4	3	2	3	3	3	3	2	iat.2022-06-25-1616.data.2f230928-f7eb-45d7-a495-4e2d0dfc8370.txt	5ecd600061398f0bffb5ccef	628b85eadfa9f719427604ce	62b715457a2d35020ed8bdbe	2022-06-25-16-01	2022-06-25-16-16	15
s.32a46bbf-e899-465f-9b52-76dd9240f40a.txt	1	1	5	1	1	1	3	2	1	1	1	1	1	2	5	3	3	4	2	4	2	iat.2022-06-25-2247.data.32a46bbf-e899-465f-9b52-76dd9240f40a.txt	608c349d8e7f57e8f84d3a27	628b85eadfa9f719427604ce	62b7727be9c1405ac0f6cc6c	2022-06-25-22-39	2022-06-25-22-47	8
s.5e1873a9-c851-4e8b-bbba-fd7121be48a1.txt	1	3	5	4	3	1	1	4	1	1	1	1	2	4	4	4	4	3	3	3	3	iat.2022-06-26-1300.data.5e1873a9-c851-4e8b-bbba-fd7121be48a1.txt	605663e5147a7b66e6853a0b	628b85eadfa9f719427604ce	62b83aa9cf84207f3de69206	2022-06-26-12-53	2022-06-26-13-00	7
